lyrics;emotion
"Beam me up (Beam me up) Count me in (Count me in) Three, two, one (Three, two, one) Let's begin"; 1
"Here we go (Here we go) Here we go (Here we go) Here we go, here we go, here we go"; 1
"I was in your wet dream, driving in my car Saw you at the side of the road, there's no one else around"; 0
"You're touching yourself, touching yourself, touching your? Touching yourself, touching yourself"; 0
"You said, 'Baby, do you want to comе home with me? I got Buffalo '66 on DVD'"; 1, 2
"I was in your wet dream, driving in my car What makes you think you're good enough to think about me"; 0
"When you're touching yourself, touching yourself, touching your? Touching yourself, touching yourself?"; 0
"You climb onto the bonnet and you're licking the windscreen I've never seen anything so obscene"; 0
"It's enough to make a girl blush It's enough, it's enough to make a girl blush"; 1, 2
"It's enough, it's enough, it's enough, it's enough It's enough, it's enough, it's enough, it's enough (To make a girl blush)"; 1, 2
"Beam me up (Beam me up) Count me in (Count me in) Three, two, one (Three, two, one) Let's begin Here we go (Here we go) Here we go (Here we go) Here we go, here we go, here we go Beam me up (Beam me up) Count me in (Count me in) Three, two, one (Three, two, one) Let's begin"; 1
