lyrics;emotion
"Ooh ooh ooh oowioo Bang my line bang my Ooh ooh ooh oowioo"; 1
"Started as a friend Can't seem to make a move Don't know what to send to you"; 0, 2
"I was waiting for a feeling I won't ever even show And you could be misleading and You'd never even know"; 1, 2
"Bang my line Take your time but don't forget to Bang my line Take your time but don't forget to"; 1
"Not really thinking 'bout the future And the repercussions Where the topic is to ride it out Without any discussion"; 3
"Crazy now you see the balance fall I keep it very sweet Twenty feet above the street Windows down and cherry seats"; 1
"Denim pants and dirty tees Never been the one That's tried to take it slow oh yeah You could be misleading And you'd never even know"; 2, 3
"You know I been waiting for it Hit the line and bring the foreign Make sure all the seats imported"; 1, 2
"Read receipts it ain't important If the energy's in orbit Get the dunk I'm speaking Jordans"; 1
"It ain't a map of the numbers behind us You know yeah you know yeah you know Where it goes Bang my line Take your time but don't forget to"; 1
