lyrics,emotion
"사랑은 이만큼 이만큼 크지만 보여줄 수가 없네 난";"1: 사랑 기쁨"
"힘겨운 하루 또 하루를 알지만 도와줄 게 참 없네 난";"3: 스트레스 짜증"
"너의 한숨이 궁금해 무슨 일이니 묻고 싶지만";"0: 그리움, 5: 슬픔"
"토닥토닥 다 괜찮아 아무 말 없이 다독이는 게";"1: 사랑 기쁨"
"안아주는 게 내가 해줄 전부라는 게 미안할 뿐이야";"5: 슬픔"
"너에게 줄 게 사랑뿐이라 그게 참 가슴 깊은 너의 한숨 걱정이 돼서";"1: 사랑 기쁨, 5: 슬픔"
"참 힘들지만 토닥토닥 다 괜찮아 아무 말 없이 다독이는 게";"1: 사랑 기쁨"
"안아주는 게 내가 해줄 전부라는 게 미안할 뿐이야 너에게 줄 게 사랑뿐이라";"1: 사랑 기쁨, 5: 슬픔"
"네 방의 거울이 되고 싶어 괜찮은 척하는 너의 그 아픔을 볼 수 있을 것 같아서";"1: 사랑 기쁨, 4: 외로움"
"토닥토닥 다 괜찮아 이렇게 아무 말 없이 다독이는 게";"1: 사랑 기쁨"
"안아주는 게 내가 해줄 전부라는 게 미안할 뿐이야 너에게 줄 게 사랑뿐이라 그게 참";"1: 사랑 기쁨, 5: 슬픔"
