lyrics;emotion
"너는 하루의 끝에 따뜻한 물 휴식을 맘에 얹어 난 너를 마신 듯 온기가 닿으면 널 생각해 온기가 닿으면 널 생각해"; 1
"너는 하루의 끝에 따뜻한 물 매일 네게 차를 건네 내 마음을 전하 듯 온기가 닿으면 널 생각해 Been always on my mind 널 내안에"; 1
"Babe I wanna make love to you 이젠 내가 하는 네 말투 분홍잔의 여유는 마음으로 내가 제일 자주 하는 말 Come thru 편히 At your pace 너와 나란히"; 1
"Got a little space에 널 가만히 Goofy it be nice Add a lil spice No I dont need nobody else but you You dont need nobody else but me 이건 간단해 마냥 더하기에 다 알기에"; 1
"너는 하루의 끝에 따뜻한 물 휴식을 맘에 얹어 난 너를 마신 듯 온기가 닿으면 널 생각해 온기가 닿으면 널 생각해"; 1
"너는 하루의 끝에 따뜻한 물 매일 네게 차를 건네 내 마음을 전하 듯 온기가 닿으면 널 생각해 Been always on my mind 널 내안에"; 1
"가끔 한숨 섞인 질투가 보여 걱정하지마 넌 내 마음이 보여 Baby you know how long I been on ya Ups and downs 해도 다리가 놓여"; 1
"좋아 어디든 뭘 하던 내 옆에 I let you be the boss all you gotta do is take 내가 무언가를 바랄 때 너도 같이 웃을 수 있게"; 1
"다 하나 하나 다 벗어던져 Talkin bout 가식 왜 베개를 던져 너가 늘 먼저 할게 많아도 늘 너에겐 넘쳐"; 1
"너는 하루의 끝에 따뜻한 물 휴식을 맘에 얹어 난 너를 마신 듯 온기가 닿으면 널 생각해 온기가 닿으면 널 생각해"; 1
"너는 하루의 끝에 따뜻한 물 매일 네게 차를 건네 내 마음을 전하 듯 온기가 닿으면 널 생각해 Been always on my mind 널 내안에"; 1
