lyrics;emotion
"247 in the studio 여전히 내 옆에서 춤을 춰 Sippin henny right 말해줘 어서";"1"
"No cappin 난 장난 아니어서 그저 Tell me everything you want 내게 말해줘 원하는 건 뭐든 말해";"2"
"Girl I wanna be your love Girl I wanna be your love";"1"
"And I told you to stay away 주위 Fck boys 그 자식들은 전부 Going to make you tired";"3"
"널 가지고 놀 뿐이야 Sit on my lap We're working on it bae I'm tryna make it bae";"1"
"내 돈은 널 위해 Let's go to the Marriott I don't got no time bae";"1"
"Tempo는 계속해서 올라 Show me love Text me when you want me";"2"
"너만 Just hit me up 내 돈을 원해도 난 Just take it off";"2"
"너의 아픔까지 전부 다 Let's run it up 다 두고서 여길 떠나";"1"
"Show me love Show me love Show me love Show me love";"1"
"Show me love Show me love Show me love I don't care if you come for my money";"1"
"니가 잘못된 게 아냐 It's not your fault 다 잡으려 해도 너무 멀지";"6"
"Girl trust me 내려놔 Your anxiety And I know you for a long time";"1"
"Put you on your own grind I'll be by your side 니가 바라던 Life";"1"
"저기 저 보이는 Cartier 니가 원하던 밤이 바로 여기에";"2"
"Cause I'm down for you 지금 분위기 앞으로 계속될 거야";"1"
"Same sxxt Now I'm stackin racks 없어 겁이 지금 Marriott에서 단둘이";"6"
"Show me love Text me when you want me 너만 Just hit me up";"2"
"내 돈을 원해도 난 Just take it off 너의 아픔까지 전부다 Let's run it up";"1"
"다 두고서 여길 떠나 Show me love Show me love Show me love Show me love";"1"
"Show me love Show me love Show me love";"1"
