lyrics;emotion
"우리가 처음 마주친 순간 내게 들어온 떨림 그때는 뭔지 나는 몰랐어"; 2
"햇살이 붉게 물드는 창밖 저녁노을의 끝에 자꾸만 걸려 너의 얼굴이"; 1
"반짝이는 너 흐트러진 나 환상적인 흐름이야 어쩐지 워어 느낌이 달라 워어"; 1, 2
"눈뜨는 아침이 워어 이렇게 빛나"; 1
"생각해 생각해 생각해 봐도 우리 마주치던 순간에 와 나는 분명하게 기억해"; 1
"워어 결정적인 찰나 후우우우 후우우우 후우 반짝이던 찰나 후우우우 후우우우 후우"; 1, 2
"재미없기로 소문났었던 내가 썰렁한 말에 실없이 웃고 많이 들뜨네 봐봐 모두들 멋쩍은 눈빛 나조차 적응이 안 돼"; 1
"사람의 일은 알다 모르지 반짝이는 너 흐트러진 나 환상적인 흐름이야 어쩐지 워어 느낌이 달라 워어"; 1, 2
"낯설은 세상이 워어 너 혼자 몰라 생각해 생각해 생각해 봐도"; 1
"우리 마주치던 순간에 와 나는 분명하게 기억해 워어 결정적인 찰나 후우우우 후우우우 후우 반짝이던 찰나 후우우우 후우우우 후우"; 1, 2
"할 말이 끊기고 가까워질 때면 농담이나 툭툭 화제를 돌리고 돌리며 할 얘기가 넘치는 척 여유 부리는 척"; 1
"너의 집 근처에 가까워질 때면 다른 길로 빙빙 핸들을 돌리고 돌리며 길눈이 좀 어두운 척 괜히 헤매는 척"; 1, 2
"반짝이는 너 흐트러진 나 환상적인 흐름이야 어쩐지 느낌이 달라 묘했던 기분을 이제는 알아"; 1, 2
"허튼 마음 같은 건 먹지 못해 난 우리 마주치던 순간에 와 나는 분명하게 기억해"; 1
"워어 결정적인 찰나 후우우우 후우우우 후우 반짝이던 찰나 후우우우 후우우우 후우 그렇게 빤히 날 바라다볼 때면 머릿속이 윙윙 진정해"; 2
"침착해 침착해 지금 나는 어지러워 너무 어지러워"; 2
