lyrics;emotion
"욕심이었던 걸까 나와는 다른 널 사랑한다는 게";"5"
"언제나 환하게 웃던 사랑스럽던 그런 너를";"1"
"착각이었던 걸까 내가 널 행복하게 만들 거란 게";"3, 5"
"어딘지 모를 아픔을 헤아릴 수 있을 것만 같은데";"5"
"한 걸음에 그대에게 달려가 사랑한다고 단 한 번만 내게 와달라고";"2"
"오지 않을 거란 걸 알면서 소리쳐봐도 아파 아파 아파";"5"
"잊을 순 없을 거야 너와 함께했던 모든 순간들을";"0, 5"
"아무리 지우려 해도 몸부림쳐도 널 잊을 순 없을 거야";"5"
"한 걸음에 그대에게 달려가 사랑한다고 단 한 번만 내게 와달라고";"2"
"오지 않을 거란 걸 알면서 소리쳐봐도 아파 아파 아파";"5"
"하염없이 같은 자리에 서서 나는 여전히 그곳에 서 있어";"4, 5"
"앞으로 나아갈 수도 뒤돌아 갈 수도 없이";"3, 5"
"하루 종일 너를 기다려 내 품 안에 널 꼭 안고서";"0"
"사랑한다고 단 한 번만 내게 와달라고";"2"
"오지 않을 거란 걸 알면서 소리쳐봐도 아파 아파";"5"
