lyrics;emotion
"Baby 넌 멀리서 봐도 한눈에 들어와 Uh 열심히 꾸민 다른 애들과는 수준이 달라 Uh yeah"; 1
"아침부터 널 만날 생각에 Baby 정신없이 나왔지 Yeah 그치만 네가 좋아하는 Fashion 잊지 않고 나왔지 Ay"; 1
"언제나 날 바라볼 때 웃어주는 네가 있어서 다행이야 다행이야 I just wanna stay with you baby"; 1
"언젠가 우리 마주 볼 땐 그때도 내 여자이길 약속해 Baby 약속해 I pray for the day"; 1
"My sugar 달콤하게 내게 녹아들어 아무 걱정 하지 않아도 돼 내게 있는 모든 것은 너를 위해 My sugar"; 1
"너와 함께 있는 이 시간이 다신 돌아오지 않을 걸 알기에 더 소중한 지금 일 끝나면 전화해 오늘 일은 어땠는지 알아야 해"; 1
"자기 전엔 네 목소릴 들어야 하루를 깔끔하게 마친 기분이야 알다시피 너 하나만 보고 있어 Cause your my baby I'm sure girl"; 1
"꼭 옆에 있는 것만 같으니까 좋아 언제나 날 바라볼 때 웃어주는 네가 있어서 다행이야 다행이야 I just wanna stay with you baby"; 1
"언젠가 우리 마주 볼 땐 그때도 내 여자이길 약속해 Baby 약속해 I pray for the day"; 1
"My sugar 달콤하게 내게 녹아들어 아무 걱정 하지 않아도 돼 내게 있는 모든 것은 너를 위해 My sugar 너와 함께 있는 이 시간이 다신 돌아오지 않을 걸 알기에 더 소중한 지금"; 1
"지금 지금 나와 같은 생각을 하고 있다면 아무말 하지 말고 내게 안겨 Um yeah"; 1
"만약 내가 바빠서 연락 못하면 우리사이가 멀어질까 혹시나 걱정하고 있다면 Woo baby 이 노랠 기억해"; 1
"My sugar 달콤하게 내게 녹아들어 아무 걱정 하지 않아도 돼 내게 있는 모든 것은 너를 위해 My sugar 너와 함께 있는 이 시간이 다신 돌아오지 않을 걸 알기에 더 소중한 지금"; 1
