id,album_name,song_name,issue_date,year,lyrics
701,Highly Rare,"R.F.J. III (feat. Ben LaMar Gay, Junius Paul & Nick Mazzarella)",20190830,2019,N/A
702,Claude Debussy,"Debussy: Pr&#233;ludes / Book 1, L. 117 - 2. Voiles",20180112,2018,N/A
703,그대는 아직도 나를 설레게 한다,사랑이 들린다면,20190516,2019,"I love
그 말만으론 표현 못하겠지만
난 그저 함께 있는 이유로
행복 했단 걸 알아
With you
여전히 내게 달콤한 추억 속에
날 스쳐 지나갔던
그 많은 시간들을 기억해
I say
기다렸다고 지금 우리 모습을
난 몇 번이나 되뇌어 봤어
시간이 멈추기를
You know
말을 안 해도 너의 눈을 보면서
우린 서로 같은 시간을
함께 걷고 있다고
이 노래가 들린다면
이대로 둘이서
잠든 널 보며 말해줄게
사랑한다고 사랑한다고
내 사랑이 들린다면
영원히 둘이서 이젠
Stay Together
이대로 내게 와
When I look in your eyes
너의 눈물이 흐를 땐
맘껏 울어도 돼
내 품에 잠든 널 바라 볼 테니
I say
기다렸다고 지금 우리 모습을
난 몇 번이나 되뇌어 봤어
시간이 멈추기를
You know
말을 안해도 너의 눈을 보면서
우린 서로 같은 시간을
함께 걷고 있다고
이 노래가 끝난대도
내 곁에 있어줘
잠든 날 보며 말해줄래
사랑한다고 사랑한다고
이 세상이 멈춘대도 내 안에 있어줘
이젠 Stay Together
너에게 다가가
날 위해 기다려 주던
날 위해 지켜봐 주던
날 위해 사랑을 주던 널
이 노래가 들린다면
이대로 둘이서 잠든
널 보며 말해줄게
사랑한다고 사랑한다고
내 사랑이 들린다면
영원히 둘이서 이젠
Stay Together
이대로 내게 와
When I look in your eyes
너의 눈물이 흐를 땐 맘껏 울어도 돼
내 품에 잠든 널 바라 볼 테니"
704,Ampia Project Vol.1,바람보다 시린 이야기,20110607,2011,"흰 눈 내린 저녁에
그댈 찾아나선 시린 겨울밤
불러봐도 대답 없는 너에게
어쩜 이별을 생각 했나봐
그댈 찾아나선 밤
흰 눈이 예쁘게 내렸는데
거리의 노래들이 무색할만큼
우리의 만남도 끝나가고
하루가 가고 하루가 가고
한달이 가고 한달이 가고
일년이 가면 좀 더 달라질까
여전히 내게
어제처럼 웃고있는 너만을
찾아서 헤메는 나인데
우리 함께 걷던 밤
흰 눈이 예쁘게 내렸는데
흐려진 시간뒤에 지금 우리는
서로의 기억속에 잊혀가
하루가 가고 하루가가고
한달이 가고 한달이 가고
일년이 가면 좀 더 달라질까
여전히 내게 여전히 내게
어제처럼 웃고있는 너만을
찾아서 헤메는 나인데
우리가 왜 이런 이별 해야했는지
너무아파 아파 아파 아파 하는데
하루가 가고 하루가 가고
한달이 가고 또 한달이 가
일년이 가면 좀 더 달라질까
여전히 내게
어제처럼 웃고있는 너만을
찾아서 헤메는 나인데
바람보다 더 시린 이야기"
705,라일락,당근주스,20061208,2006,"당근 주스
당근 주스
당근 주스
당근 주스다
아무리 니가 남들과 다르려 해도
아무리 새로운 걸 고민해봐도
지구 밖 다른 별로 가지 않는 한
완벽히 새로운 건 없어
당근 주스
당근 주스
당근 주스
당근 주스다
당근만 가지고는 주스가 안돼
오렌지 사과즙이 필요한거야
만들기 어려운건 순수가 아냐
조율이 중요한거야
당근 주스
당근 주스
당근 주스
당근 주스다"
706,Real Love,Real Love,20170616,2017,N/A
707,Main Course presents YEAR ONE: The Compilation,Bomboclat,20140527,2014,N/A
708,Desert you,Desert you,20180820,2018,N/A
709,웨딩 OST,들어오세요,20050921,2005,N/A
710,어린이집 유치원 추천 클래식 명곡 어린이 동요 자장가 베스트(숲속의 오르골),에델바이스 (숲속의 오르골),20160309,2016,N/A
711,Hollow,Hollow,20190722,2019,"Lily was a little girl
Afraid of the big wide world
She grew up within her castle walls
Now and then she tried to run
And then on the night
with the setting sun
She went in the woods away
So afraid all alone
They warned her don’t go there
There's creatures
who are hiding in the dark
Then something came creeping
It told her don’t you worry just
Follow everywhere I go
Top over the mountains
or valley low
Give you everything
you’ve been dreaming of
Just let me in ooh
Everything you wantin' gonna be
the magic story you've been told
And you’ll be safe
under my control
Just let me in ooh
Just let me in ooh
She knew she was hypnotized
And walking on cold thin ice
Then it broke
and she awoke again
Then she ran faster than
Start screaming
is there someone out there
Please help me
Come get me
Behind her she can hear it say
Follow everywhere I go
Top over the mountains
or valley low
Give you everything
you’ve been dreaming of
Just let me in ooh
Everything you wantin' gonna be
the magic story you've been told
And you’ll be safe
under my control
Just let me in ooh
Just let me in ooh
Ooh ooh ooh ooh
Ooh ooh ooh ooh
Ooh ooh ooh ooh
Everything you wantin' gonna be
the magic story you’ve been told
And you’ll be safe
under my control
Just let me in ooh
Follow everywhere I go
Top over the mountains
or valley low
Give you everything
you’ve been dreaming of
Just let me in ooh
Then she ran faster than
Start screaming
is there someone out there
Please help me
Just let me in ooh"
712,Dreaming Montmartre,Montmartre,20100630,2010,N/A
713,You`re Not Alone (Radio Edit),You`re Not Alone (Radio Edit),20070821,2007,N/A
714,Au Club St. Germain 1958,Politely,19580101,1958,N/A
715,The Reason,Lucky (Album Ver.),20031217,2003,"I knew how it felt to be
another one in need
of someone to show the way
until you saw a part of me
that nobody else could see
and my life hasn't been the same
you make me feel
lucky as I can be
you make me feel
lucky as I can be
before I couldn't get a break
never had a chance to make
the impressions I want to
but now it falls right into place
when I get to see your face
then there's nothing that I can do
you make me feel
lucky as I can be
you make me feel
lucky as I can be
no more dark days only sun rays

no more hard ways with you today

you make me feel

you make me feel
lucky as I can be

lucky as I can be

lucky as I can be"
