id,album_name,song_name,issue_date,year,lyrics
901,Birdsongs,Jammin,20160706,2016,N/A
902,20th Century Masters - The Millennium Collection: The Best Of Gato Barbieri,"Europa (Earth`s Cry, Heaven`s Smile)",20040823,2004,N/A
903,The Christmas Album 2016,Deck The Halls / Silent Night,20161111,2016,N/A
904,KIWANUKA,Piano Joint (This Kind Of Love),20191101,2019,"Walking down the avenue
Looking out for something new
It's the right time to give in
The right time to lose
To begin again
Maybe win again
All I want is to talk to you
Turn me onto something true
I can't be with another
And though I've been used
I won't leave again
Help me to the end
All I know is my oh my
this kind of love
Has taken me from my enemies
Don't let the pressure get to me
My oh my it's bad enough
Could you stay with me
Don't let me go
Sadness and fury is all I know
You've taken me from my enemies
I still let the pressure get to me
I thought I could break away
I hope I fall in love today
No more heartbreak and trouble
And though I've been bruised
Let me in again
I could use a friend
All I know is my oh my
this kind of love
Has taken me from my enemies
Don't let the pressure get to me
My oh my it's bad enough
Could you stay with me
Don't let me go
Sadness and fury is all I know
You've taken me from my enemies
I still let the pressure get to me"
905,Unappreciated,Moment In Time,20060816,2006,"I know most times I'm far away
But still I'm missing you
but still I'm missing you
I said some things that I regret
But I'll make it up to you
Baby I can't breathe when you touch my body
When your heart beats it's like music to me
And I can't see my life without you
And baby it's all up to you
If I could make time stand still
Then I know we'd live this moment for ever
Can we stay right here you don't have to go baby close that door I
I really hate missing you
I rather be kissing you
And I don't know what I would do
If I couldn't make love to you
Over and over and over I wish
That I could live this moment in time
As of today I put my life completely in your arms
And if you should feel I could do more to please you
Then baby tell me how oh oh
Baby I can't breathe when you touch my body
When your heart beats it's like music to me
And I can't see my life without you
And baby it's all up to you
If I could make time stand still
Then I know we'd live this moment for ever
Can we stay right here you don't have to go baby close that door I
I really hate missing you
I rather be kissing you
And I don't know what I would do
If I couldn't make love to you
Over and over and over I wish
That I could live this moment in time
Time stand still can time stand still
Then I know we'd live this moment for ever we'd live this moment for ever
Can we stay right here stay right here
You don't have to go you don't have to go baby close that door I close the door
I really hate missing you
I rather be kissing you
And I don't know what I would do
If I couldn't make love to you
Over and over and over I wish
That I could live this moment in time"
906,On&#39;n&#39;On,On&#39;n&#39;On,20190304,2019,"Quand on n'a que l'amour
A s'offrir en partage
Au jour du grand voyage
Qu'est notre grand amour
Quand on n'a que l'amour
Mon amour toi et moi
Pour qu'eclatent de joie
Chaque heure et chaque jour
Quand on n'a que l'amour
Pour vivre nos promesses
Sans nulle autre richesse
Que d'y croire toujours
Quand on n'a que l'amour
Pour meubler de merveilles
Et couvrir de soleil
La laideur des faubourgs
Quand on n'a que l'amour
Pour unique raison
Pour unique chanson
Et unique secours
Quand on n'a que l'amour
Pour habiller matin
Pauvres et malandrins
De manteaux de velours
Quand on n'a que l'amour
A offrir en priere
Pour les maux de la terre
En simple troubadour
Quand on n'a que l'amour
A offrir a ceux la
Dont l'unique combat
Est de chercher le jour
Quand on n'a que l'amour
Pour tracer un chemin
Et forcer le destin
A chaque carrefour
Quand on n'a que l'amour
Pour parler aux canons
Et rien qu'une chanson
Pour convaincre un tambour
Alors sans avoir rien
Que la force d'aimer
Nous aurons dans nos mains
Amis le monde entier"
907,Livin` Like Hustlers,The Last Song,19960723,1996,"[Featuring N.W.A.]
Yo D.O.C.,what'cha blazing, j, 'cause this is a lawhouse
experience, so you know it's gonna be some mega shit, so who is that
(KM.G)
KM.G will never be a trick
Step up to the mic like a baller then I pimp this gift
That only I possess
I illustrated that way to get the shit off my chest
I'm ghetto raise to amaze the crowd, it's quite simple
Km.G has degrees from Unity of South Central
I'm a graduate and it's all legit
From the pimping, the ballin' and all that good shit
I have the mega balls in which I speak in a slang
While I'm peeking it wit the G's from the Ruthless gang
Ain't nuttin change but the weather like I said before
'Cause I'm living like hustlers and I'm checking galore
Yo, I have to give it up to the D.O.C.
A Ruthless brother who's down wit the KM.G
So all hail to the niggas that's turning it out
And maybe then, I'll take the gun barrel out of your mouth
Knowledge from one generation to another, perserve
and then transmitted, get it, done the Ruthless way,
You know what I'm saying, so what's up Dre
(Dr. Dre)
Now I'm a swinger, I'm not a muthafuking singer
But I bringa melody that always seems to ring a
Bell as well, let's make it so you can tell
Yo, it's coming from Compton where the ballers dwell
'Cause I'm Dre, the muthafuking doctor causing propaganda
When I'm on the mic, I demand a
Little bit of time to express myself
From ?(cedian)? wax, kicking the facts and it's like that
A nigga wit a muthafuking attitude
You know the deal, kicking some real shit
And if a sucker ever thinks he can get some
Yo, step off, I'm kicking lyrics for the deaf and the dumb
But any occasion, getting the bitches wit the mega persuasion
Then my dick starts top make an invasion
But, yo, I can't go on
Because this is the end of my part on the last song
Real G from the streets, villianous when he speaks
For all you busters who can't deal, give it up for real
(MC Ren)
Now when you see me, you're ducking and slipping, yo, then you fell
down
You fucked up and finally figured who was the cell down
Pulling the pulls, crotching the bull
The weak muthafuker was smelling like shit so I guess that they're
full
Of it, and I love it when I dress like a crook
Wit a ""I don't give a fuck"" look
The villian was something nuff like a hero
Jacking all the niggas wit beef, off of relief, I mean the zeros
The rest of the 100 was sent to do what I say
NWA and ATL and we don't play
The DOC is doing it, oh, so correctly
See, I broke it down for the ones who try to check me
But I can't be check 'cause I'm the checker
When you see a nigga wreck believe that I'm the wrecker
The right and for the fight and the left will attend
We're doing wrong, MC Ren is on the last song
From a genius to temporary insanity, the ganster's dream
The bitches fanasty, Ruthless, so now we've come to the payoff
(Eazy-E)
One muthafuking two muthafuking three
It's the hip-hop thugster Eazy-E
So I grab the mic and then I clear my throat
First nigga kicking lyrics in a straightcoat
It's Eazy for me to come off like this
So you can kiss my ass where the sun rays miss
Or just give me the pussy and I'll be straight
And if you don't, fuck it, I'll masterbate
(We wanta fuck you Eazy) yea, you bitches scream
Now bow down and praise the lord for the wing ding
I got skill to deal and run game on bitches
You can tell that I'm sick by the triple sixes
I hear voices in my head for what reason
But when the talking stops (pow) it's drive by season
So back the fuck off and give me respect
Now they're shipping me off 'cause Eazy played wit a half deck
Criminal in his thoughts, murderous in his lyrics
The notorious Cold
(Cold 187um)
187um, you know I gotta have it
Now being above the law is an everyday habit
If you think I drop some pimp shit, I ain't
Perhaps I'll say a couple rhymes to make the bitches faint
Now everybody wants to chill, ill
And bill, now what the fuck is the deal
You need a nigga like me to get the shit going
187um has got the ultimate flowing
Now it's time for me to go off like a maniac
Run up for cover 'cause I'm on the ?(adidnac)?
An untouchable player rolled up into one mind
87 reasons why fools staying in line
'Cause I ain't the average nigga behind the trigger
I lay and spray anything in my way
'Cause I'm a balls player for the streets of South Central
Beleive what you want but soon you'll eventually see
That ATL is straight to mega
Don't be surprise 'cause we played ya like Sega
And these bodies keep dropping, you see me keep moving on
Peace, I'm outta here 'cause this is the last song
Shout outs"
908,백색소음 클래식 Part.10,"Mozart : Symphony No.41 In C Major K.551 `Jupiter` - II. Andante Cantabile (Part.II) (모차르트 : 교향곡 41번 다장조 `주피터` - 2악장) (백색소음, ASMR, 클래식, 뉴에이지, 자장가, 태교, 요가, 수면, 명상, 휴식,빗소리)",20181112,2018,N/A
909,Bounce (Remixes),Bounce (7th Heaven Remix),20191213,2019,N/A
910,벚꽃 보러가요 리마스터드,벚꽃 보러가요 (리마스터드),20160307,2016,"벚꽃 보러가요 내 사랑 자기야
내 손잡아요
어느새 코 끝에 봄 바람
벚꽃 보러가요 내 사랑
행복한 사진 만들며
우리 둘 사랑을
세상에 자랑하러 나가봐요
얼마 전 추위에는
자기가 얼음처럼 차갑게
손이 굳어서 내 맘도 아팠었는데
자기는 추운 겨울
이 봄만 기다렸나봐
예쁜 새 옷을 준비하고
기다렸나봐
벚꽃 보러가요 내 사랑
우리 둘 두 손 꼭 잡고
따뜻한 봄날을 느껴요
벚꽃 보러가요 내 사랑
오늘 널 보고싶어요
따뜻한 이 길을
끝없이 걸어보고 싶어요
창너머 거리에는
연인들 넘실넘실
하얀 솜사탕 손에 들고
달콤한 시간 보내는데
벚꽃 눈 녹기 전에
자기를 불러야지
사진만 만지지 말고 전화해야지
벚꽃 보러가요 내 사랑
우리 둘 두 손 꼭 잡고
따뜻한 봄날을 느껴요
벚꽃 보러가요 내 사랑
오늘 널 끌어안고서
달콤한 입맞춤
그 뒤엔 벚꽃 눈이 날려요"
