id,album_name,song_name,issue_date,year,lyrics
601,Shake It Up: Live 2 Dance,Bring The Fire,20120416,2012,"Oh, oh, oh, oh, oh, oh, oh
Bring the fire tonight
Oh, oh, oh, oh, oh, oh, oh
Bring the fire tonight

Verse 1
Let's sneak in the back
Getting in for free
Heart attack
'Cause I'm too afraid to do this, yeah
Deep breath, I'm a wreck
But I came to d-d-d-dance, d-d-d-dance

Pre-Chorus 1
I'm weak, f-feeling lost
Weak, don't miss your shot
Weak, show what I got
W-w-what I got

Chorus
Do it up, do it up
Do it up on the floor
Aye yeah, aye yeah
And bring the fire tonight
Do it up, do it up
Can ya gimme some more
Aye yeah, aye yeah
And bring the fire tonight
DJ spinnin' my heart and there's
Nothing's gonna stop us
Do it up, do it up
Do it up on the floor
Aye yeah, aye yeah, yeah, yeah

Verse 2
It's showtime
Make a move, we didn't come this far
Just to freeze from standing over in this corner, no
Spotlight passing by
Time to clear the way-ay-ay-ay, ay-ay-ay-ay

Pre-Chorus 2
I'm weak, I wanna rock
Weak, don't miss your shot
Weak, show what I got
W-w-what I got

Chorus
Do it up, do it up
Do it up on the floor
Aye yeah, aye yeah
And bring the fire tonight
Do it up, do it up
Can ya gimme some more
Aye yeah, aye yeah
And bring the fire tonight
DJ spinnin' my heart and there's
Nothing's gonna stop us
Do it up, do it up
Do it up on the floor
Aye yeah, aye yeah, yeah, yeah

Bridge
Show my passion
Keep on dancing
Hot as lighting
Oh yeah, oh yeah
Oh yeah, oh yeah
I felt unsteady
But now I'm ready
So come and get me
Oh yeah, oh yeah
Oh yeah, oh yeah

Pre-Chorus 2
I'm weak, I wanna rock
Weak, don't miss your shot
Weak, show what I got
W-w-what I got

Chorus
Do it up, do it up
Do it up on the floor
Aye yeah, aye yeah
And bring the fire tonight
Do it up, do it up
Can ya' gimme some more
Aye yeah, aye yeah
And bring the fire tonight
DJ spinnin' my heart and there's
Nothing's gonna stop us
Do it up, do it up
Do it up on the floor
Aye yeah, aye yeah, yeah, yeah"
602,반했나요,반했나요,20170826,2017,"그대 나에게 반했나요
그대 그렇게도 내가 좋은가요
그대 나를 보며 자꾸 웃어요
부끄럽게 말이야
난 그댈 보고 그댄 나를 바라보고
음
입 맞추죠
그대 나에게 반했나요
그대 그렇게도 내가 좋은가요
그대 나를 보며 자꾸 웃어요
부끄럽게 말이야
보이지 않는 게 사랑이지만
가끔은 눈으로 보인다죠
내 앞에 서 있는 당신의 사랑이
너무나도 잘 보이네요
난 그댈 보고 그댄 나를 바라보고
우리가 조금씩 가까워지면
난 그댈 보고 그댄 나를 보고
그댄 나를 바라보고 난 그댈 보고
우리가 조금씩 가까워지면
입 맞추죠
그대 나에게 반했나요
그대 그렇게도 내가 좋은가요
그대 나를 보며 자꾸 웃어요
부끄럽게 말이야"
603,12 Little Spells (Deluxe Edition),Lest We Forget (blood),20190510,2019,N/A
604,Licky (Under The Covers),Licky (Under The Covers),20091215,2009,N/A
605,Raptor,Rocket (Original Mix),20140324,2014,N/A
606,사랑오운 아띠,그네,20180509,2018,"그렇게 자꾸
나를 밀어내지 좀 말아요
나는 또 멍청하게 흔들리잖아
오늘도 붕 뜬 맘에 정신을 좀 잃어요
내가 이렇게 판단이 흐렸었나
좀 바보 같네
그렇게 자꾸
나를 밀어내지 좀 말아요
나는 또 멍청하게 흔들리잖아
오늘도 붕 뜬 맘에 정신을 좀 잃어요
내가 이렇게 판단이 흐렸었나
좀 바보 같네
제발 좀 헷갈리게 하지 말고
확실하게 해줘
멈춰야 할지 더 가야 할지
모르겠단 말이에요
이상하게 내 마음이 내 맘 같지 않아
흔들흔들 흔들리는 그네 같아
밀어내지 말고 좀 당겨줘요
나 어릴 적 그네를 밀어주던
우리 아빠처럼
포근하게 자상하게
밀어내지 말고 좀 당겨줘요
나 어릴 적 그네를 밀어주던
우리 아빠처럼
포근하게 자상하게
그랬으면 좋겠네 그래 주면 좋겠어
그랬으면 좋겠네 그래 주면 좋겠어
제발 좀 헷갈리게 하지 말고
확실하게 해줘
멈춰야 할지 더 가야 할지
모르겠단 말이에요
이상하게 내 마음이 내 맘 같지 않아
흔들흔들 흔들리는 그네 같아
밀어내지 말고 좀 당겨줘요
나 어릴 적 그네를 밀어주던
우리 아빠처럼
포근하게 자상하게
밀어내지 말고 좀 당겨줘요
나 어릴 적 그네를 밀어주던
우리 아빠처럼
포근하게 자상하게
그랬으면 좋겠네 그래 주면 좋겠어
그랬으면 좋겠네 그래 주면 좋겠어
나는 그댈 보고 그대는 나를 보고
우린 서로를 보고 수줍은 듯 웃지만
사실을 그대 안에 나를 향한 마음이
얼마나 가득한진
조금도 모르겠어요"
607,까맣게,사랑한다,20130218,2013,"저 하늘이
널 가려도 가슴
아픈 바람이
날 베어도
이뤄질 수 없다고
모두 말해도
난 너 하나만 그리워
이별 슬픔 상처
눈물모아 세상
모르 게 숨겨두고
오직 너 하나
오직 너 하나
바라는 건
그것 뿐 이라고
사랑한다
내 사람아 누가
뭐라 해도 변하지 않아
너만 사랑한다
꼭 사랑한다
이 세상 아니
다음 세상도
하늘이 너를
가려도 눈물이
앞을 가려도
난 늘 니가
있는 곳 너에게로
내가 갈게
왜 널 잊지 못해
내 가슴이
눈물로 자꾸 날 괴롭혀
보고 싶다고
못 놓겠다고
내 가슴이
너를 원한다고
사랑한다 내 사람아 누가
뭐라 해도 변하지 않아
너만 사랑한다
꼭 사랑한다
이 세상 아니 다음 세상도
널 사랑한다
이것만은 기억해 지금도
널 사랑하고 있다고
내가 꼭 내가 꼭 내가 꼭
지킬거야 나의 사랑아
세상 모두 안 된대도
너에게로
가는 길이 멀어도
너를 찾을거야
꼭 찾을거야
이 세상 그래
세상 끝까지
하늘이 너를
가려도 눈물이
앞을 가려도
난 늘 너였으니까
너 하나만
사랑한다
기억해줘
너를 사랑한다 영원히"
608,Together? (Original Soundtrack Recording),I`ve Got My Mind Made Up / I Don`t Need You Anymore (Reprise) (From the Motion Picture `Together?`),20141208,2014,N/A
609,Chapter One,Hard Work,20141010,2014,"Now I'm not talking from experience
But I think I've found magnificence
And at the end of the day
You can be hard work but you're good for me
And though you seem to make my body ache
It's a feeling I appreciate
Which makes it easier when
You can be hard work but you're good for me
This time I know I won't be proved wrong
This time to win you gotta lose some
Sometimes I just wanna give you up right away
But then you go and brighten up my day
I know I'm not wasting my time
For you to be the reason I cry
And no I'm not gonna lie
You're hard work but you're good for me
And you're the one that's by my side
When I'm going out of my mind
But ninety nine per cent of the time
You're hard work but you're good for me
And when I'm losing all my energy
You're like my only working remedy
And when I struggle to breathe
Its ‘cause your hard work but you're good for me
And when I start to feel I've had enough
And my head is feeling kind of rough
And even thinking is tough
When you're hard work but you're good for me
This high is a feeling that I'm fixed on
I knew it was worth it in the long run
‘Cause somehow everything has fell into place
And you can tell by the smile on my face
I know I'm not wasting my time
For you to be the reason I cry
And no I'm not gonna lie
You're hard work but you're good for me
And you're the one that's by my side
When I'm going out of my mind
But ninety nine per cent of the time
You're hard work but you're good for me
Mmm, hard work
Mmm, hard work
Mmm, you're hard work but you're good for me
Mmm, hard work
Mmm, hard work
Mmm, you're hard work but you're good for me
But I'm not running away, no
A little bit of love is all it takes
I know I'm not wasting my time
For you to be the reason I cry
And no I'm not gonna lie
You're hard work but you're good for me
And you're the one to be by my side
When I'm going out of my mind
But ninety nine per cent of the time
You're hard work but you're good for me
Mmm, hard work
Mmm, hard work
Mmm, you're hard work but you're good for me
Mmm, hard work
Mmm, hard work
Mmm, you're hard work but you're good for me"
610,Bess’s Dance,Bess’s Dance,20190821,2019,N/A
