id,album_name,song_name,issue_date,year,lyrics
501,Falling Into You,All By Myself,19960312,1996,"When I was young
I never needed anyone
and making love was
just for fun
Those days are gone
Living alone
I think of all the friends
I've known
but when I dial the telephone
nobody's home
All by myself don't wanna be
all by myself any more
Hard to be sure
sometimes I feel so insecure
And love so distant and obscure
remains the cure
All by myself don't wanna be
all by myself any more
All by myself don't wanna live
all by myself any more
When I was young
I never needed anyone
and making love was
just for fun
Those days are gone
All by myself don't wanna be
all by myself any more
All by myself don't wanna live
Oh
Don't wanna live
By myself by myself
Anymore
By myself
Anymore
Oh
All by myself
Don't wanna live
I never never never
Needed anyone"
502,우리들 이야기,우리들 이야기,20190417,2019,"길을 걷다 비친 내 모습을 보며
한동안 고민을 해
사람들의 시선
사람들의 눈빛
사람들의 동정
더 이상 신경 쓰지 않아
때론 평범한 삶을
살아가고 싶지
친구들과의 party
여행 cafe 사랑놀이
이 모든 걸 접어 둔채
꿈을 향해 달려가 never
연습생이라는 발판을 삼아
뮤지션의 길에
한 발 더 다가가려해
내 마음속이 기억하려해
미소 띈 someone like you
바람에 쓰인
oh have a happy day together
1분일초가 아까운 터라
숨겨버린 내 모습
한겨울밤에 나 홀로 앉아
방석위에 잠들 곤해
아픔을 뒤로 한채 fly
매일 밤 남몰래 눈물을 훔쳐
꿈꿨던 무대 위로 high
더 이상 아픔 생각지 않아
박차고 올라 선채 fly
허공에 매일 밤 눈물을 날려
달려가 정상위로 high
더 이상 슬픔 생각지 않아
더욱더 발악해
미친 듯이 달려
남들보다 빠르게
총알보다 빠르게 성장해 성장해
두 손바닥 위에 5명의 인생을
주먹 쥐고 남몰래 뒤에서
난 땀나도록 달려
음악이란 내게 신이주신 선물
아무리 힘들고 고난이 와도
포기하지 않아 절대 never
쉽게 포기할거면
스테이지위로 올라가
너희들 앞에
당당하게 서지도 않았어
하루하루가 보고싶을 뿐
미소 띈 someone like you
하늘에 쓰인
oh have a happy day together
낮과 밤사이 많은 시간들
숨어버린 내 모습
한겨울밤에 방안에 않아
많은 생각에 잠들 곤해
아픔을 뒤로 한채 fly
매일 밤 남몰래 눈물을 훔쳐
꿈꿨던 무대 위로 high
더 이상 아픔 생각지 않아
박차고 올라 선채 fly
허공에 매일 밤 눈물을 날려
달려가 정상위로 high
더 이상 슬픔 생각지 않아
친구들과 어울릴 어린나이에
내 이야기들을 들려줄
친구들은 없어
때 묻지 않은 진심으로
이야기를 꺼내
아이돌이라는 편견은
허공에 날려
똑바로 들어 다 필요 없으니
내가 진정 원하는 건
단지 스테이지와
대중들에게 내목소리를
제대로 들려 줄 수 있게
하는 Mic 그 2개 면돼
아픔을 뒤로 한채 fly
매일 밤 남몰래 눈물을 훔쳐
꿈꿨던 무대 위로 high
더 이상 아픔 생각지 않아
박차고 올라 선채 fly
허공에 매일 밤 눈물을 날려
달려가 정상위로 high
더 이상 슬픔 생각지 않아
길을 걷다 비친 내 모습을 보며"
503,Your Biggest Fan,Your Biggest Fan (Sasha Dith Mix Edit),20130405,2013,N/A
504,Eternity,Eternity,20121123,2012,N/A
505,잠이 잘 오는 잔잔한 클래식 모음집,Bach : Partita No.2 In C Minor BWV.826 - II. Allemande (바흐 : 파르티타 2번 다단조 - 2번. 알라망드),20141205,2014,N/A
506,Healing Vibes,I Wanna B With U (Jerome Remix Edit.),20160826,2016,N/A
507,015B Big 5,Netizen,19940000,1994,"나에게 친구 필요가 없다
ah ah I'm a netizen
컴퓨터 안에 모든게 있다
ah ah I'm a netizen
세기말의 꽃 얼마나 좋은가
24시간 통신망은 자유롭다
나만있는 세상
지긋지긋한 대인관계 필요없어
사람들 만날 이유가 없다
ah ah I'm a netizen
모두 앉아서 구할 수 있다
ah ah I'm a netizen
세기말의 꽃 얼마나 편한가
24시간 정보망은 열려있다
모뎀만 있으면 단말기만이
나의 영원한 친구다

예의란 내게 의미가 없다
ah ah I'm a netizen
서로 얼굴을 안대해도 돼
세기말의 꽃 얼마나 좋은가
24시간 통신망은 자유롭다
나만 있는 세상
지긋지긋한 대인관계 필요없어
움직이는 건 구시대의 것
ah ah I'm a netizen
손가락으로 다 할 수 있다
ah ah I'm a netizen
세기말의 꽃 얼마나 편한가
24시간 정보망은 열려있다
모뎀만 있으면 단말기만이
나의 영원한 친구다"
508,송창식 골든 제3집,담배가게 아가씨,19881003,1988,"우리동네 담배가게에는

아가씨가 예쁘다네

짧은 머리 곱게 빗은 것이

정말 예쁘다네

온 동네 청년들이

너도나도 기웃기웃기웃

그러나 그 아가씨는 새침떼기

앞집의 꼴뚜기 녀석은

딱지를 맞았다네

만화가게 용팔이 그녀석도

딱지를 맞았다네

그렇다면 동네에서

오직 하나 나만 남았는데

아 기대 하시라 개봉 박두

다음날 아침 일찍부터

담배 하나 사러가서

가지고 간 장미 한 송이를

살짝 건네어 주고

그 아가씨가 놀랄 적에

눈싸움 한 판을 벌인다

아 라라라라라라라라라라라라라

오 그 아가씨 웃었어

하루종일 가슴 설레이며

퇴근 시간 기다렸지

오랜만에 말끔히 차려입고

그 아가씰 기다렸지

점잖게 다가서서

미소 띄며 인사를 했지

그러나 그 아가씬 흥 콧방귀

그렇다고 이대로 물러나면

대장부가 아니지

그 아가씨 발걸음 소리 맞춰

뒤따라 걸어간다

틀려서는 안되지

번호 붙여 하나 둘 셋

오 위대한 손 나의 끈기

바로 그때 이것 참 야단 났네

골목길 어귀에서

아랫동네 불량배들에게

그 아가씨 포위됐네

옳타구나 이때다

백마의 기사가 나가신다

아 자자자자자자자자자자자자자

아 하늘빛이 노랗다



우리동네 담배가게에는

아가씨가 예쁘다네

지금은 그때보다도

백배는 예쁘다네

나를 보면은 웃어주는 아가씨

아가씨 나는 정말 사랑해

아 자자자자자자자자자자자자자

아 나는 지금 담배 사러 간다"
509,Alice Through the Looking Glass (Original Motion Picture Soundtrack),Tea Time Forever (From “Alice Through the Looking Glass”/Score),20160826,2016,N/A
510,자장가와 태교에 좋은 잔잔한 클래식 피아노 명곡 모음,Clementi : Piano Sonatine No.3 In C Major Op.36 - I. Spritoso (클레멘티 : 피아노 소나티네 3번 다장조 작품번호 36 - 1악장),20181102,2018,N/A
511,Big Gold 80 Cho Yong-Phil G,산유화,20051101,2005,"지나간 날을 그리워하면
가슴은 마냥 흩어져가고
어두운 밤을 지나노라면
한 조각 그 마음 나를 울리지
사랑의 미련 버리기에는
아직도 남은 그대 그림자
그 입술도 눈 망울도
내 앞에 남아있는데
산유화야 산유화야
언젠가 지워버릴 그 마음
산유화야 그대의
숨 소리는 남았네
외로움을 그리움을
버리고 버리고

돌아서가면 귀에 들리는
지나간 날의 작은 밀어들
수 많은 별들 모두 알려나
지나간 날의 사랑 이야기
사랑의 미련 버리기에는
아직도 남은 그대 그림자
그 입술도 눈 망울도
내 앞에 남아있는데
산유화야 산유화야
언젠가 지워버릴 그 마음
산유화야 그대의
숨 소리는 남았네
외로움을 그리움을
버리고 버리고"
512,Eternal Atake (Deluxe) - LUV vs. The World 2,Bean (Kobe) [feat. Chief Keef],20200313,2020,"Yo Pi'erre yo Pi'erre
In my triple cup
that's two times two
Man this shit darker
than a wonton soup ayy
Yeah my eyes red but I'm no Damu
If you gon' run it up
that's so on you
You know I'm ballin'
usual like Kobe 24
Ooh worried 'bout a hater
that don't know me
He say that he tough
then that boy gotta show me
Pull up Bentley truck
extra poles
and we four deep Bah
Say my name three times
like I'm Tony Tony Toni Tone
Diamond VVS I put baguettes
all on my Rollie
I ain't never believe nothing
that you told me
These niggas keep sneak dissing
they turned me to my old me
Before I had these mils
I was oh so lonely
Runnin' 'round in Philadelphia
only with my 40
I ain't never been a phony
No way
You be gettin' bands Hardly yeah
I just fucked your bitch
sorry ooh I'm sorry
Man I put that on my shawty ooh
Fight me we're not scared
sorry I'm sorry
No I'm not here for no games
Atari No way
Diamonds
they hittin' like water
ooh starbeam yeah
Rockstar life be callin' Callin'
Don't want that girl she
stallin' she stallin' Oh oh
Big ol' foreign whip ooh I
can't park it Ooh no way
I'm from outer space ooh
in a starship Ooh
Thick ol' foreign bitch ooh
that's my target Ooh
Ten bands what you say Ooh Ooh
Ten bands for my Chanel carpet
Alright
Rockstar life
like watch this Okay
Young nigga slick
like margarine Huh
Lost your bitch
in Starlet's Jeez
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
Bang bang
AP Muller my Rollie Woo
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
That's two times two
AP Muller my Rollie
Just pulled up with me Huh
Doin' one-sixty Skrrt
The bitch staring at me
Got real big titties Sos' baby
What's in my jeans
Them real big fifties
Flight after flight Beep
Hittin' real big cities
From the sandbox yeah
my brothers is with me Mhm
If they give me a bond
I'm comin' to get me
Let's get it
And in the club Let's get it
We snuck the semi Bang
Cup dawg it ain't Remy
I can feel the envy
In my triple cup
that's two times two
Man this shit darker
than a wonton soup ayy
Yeah my eyes red
but I'm no Damu
If you gon' run it up
that's so on you
Disrespect the gang
and we stall on you hey
Send them Trackhawk shots
don't get called on you
Bang bang
Bring my belt
better have that coat on you
ayy Gang gang
Marry that guap you know I do
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
Bang bang
AP Muller my Rollie Woo
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
AP Muller my Rollie
That's two times two
AP Muller my Rollie
Ah ah
Ah ah
Ah ah
Ooh
Yoom"
513,IAMREADY,Far Away,20181123,2018,N/A
514,Lash Brothers,Say No Mo,20180504,2018,N/A
515,Lasse Lindh 05-10,Hate On Me,20100401,2010,"(LAY ALL YOUR) HATE ON ME



You got to let go, I know if we could sum up our love I’ve done you much more good than wrong but its the wrong that counts and I have poisoned

Our house of love and our dreams with my blanket of guilt

I have let you down for the very last time



Hate on me, lay all your hate on me, cut me open and re-shape me

I’m so tired of my body and my soul

Hate on me, lay all your hate on me, cut me open and re-shape me

I’m so tired of hating myself, please set me free



It cuts like a knife to know that you will walk in pain and you will fall and you will break but in the end it’s for the good cause you’ll rise

And you will find a man that can give you all that I never could and he’ll bring the light back in your eyes



Hate on me, lay all your hate on me, cut me open and re-shape me

I’m so tired of my body and my soul

Hate on me, lay all your hate on me, cut me open and re-shape me

I’m so tired of hating myself, please set me free"
516,The Harold Arlen Songbook Vol.1 & Vol.2 (Digitally Remastered),Over The Rainbow,20120106,2012,"When all the world is a hopeless jumble
And the raindrops tumble all around
Heaven opens a magic lane
When all the clouds darken up the skyway
There's a rainbow highway to be found
Leading from your window pane
To a place behind the sun
just a step beyond the rain
Somewhere over the rainbow way up high
There's a land that I heard of once in a lullaby
Somewhere over the rainbow skies are blue
And the dreams that you dare
to dream really do come true
Someday day I'll wish upon a star
And wake up where
the clouds are far behind me
Where troubles melt like lemon drops
Away above the chimney tops
that's where you'll find me
Somewhere over the rainbow bluebirds fly
Birds fly over the rainbow
why then oh why can't I
Someday I'll wish upon a star
And wake up where
the clouds are far behind me
Where troubles melt like lemon drops
Away above the chimney tops
that's where you'll find me
Somewhere over the rainbow bluebirds fly
Birds fly over the rainbow
why then oh why can't I
If happy little bluebirds
fly beyond the rainbow
Why oh why can't I"
517,마음이 편해지는 편안한 피아노의 감성적인 클래식 연주앨범,Chopin : Mazurka No.6 In A Minor Op.7-2 (쇼팽 : 마주르카 6번 가단조 작품번호 7-2),20180720,2018,N/A
518,Classic Experience II,Albinoni : Adagio In G Minor (알비노니 : 아다지오 G단조),20080204,2008,N/A
519,Love on Repeat (Remixes) (Feat. Minelli),Love on Repeat (Deep House Edit) (Feat. Minelli),20161216,2016,N/A
520,Fearless (Big Machine Radio Release Special),Love Story,20181213,2018,"We were both young when I first saw you
I close my eyes, and the flashback starts
I'm standing there
On a balcony in summer air
See the lights, see the party, the ball gowns
See you make your way through the crowd
And say, ""Hello""
Little did I know

[Pre-Chorus]
That you were Romeo, you were throwing pebbles
And my daddy said, ""Stay away from Juliet""
And I was crying on the staircase
Begging you, ""Please, don't go,"" and I said

[Chorus]
Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say ""Yes""

[Verse 2]
So I sneak out to the garden to see you
We keep quiet, 'cause we're dead if they knew
So close your eyes
Escape this town for a little while, oh, oh

[Pre-Chorus]
'Cause you were Romeo, I was a scarlet letter
And my daddy said, ""Stay away from Juliet""
But you were everything to me
I was begging you, ""Please, don't go,"" and I said

[Chorus]
Romeo, take me somewhere we can be alone
I'll be waiting, all there's left to do is run
You'll be the prince and I'll be the princess
It's a love story, baby, just say ""Yes""
Romeo, save me, they're trying to tell me how to feel
This love is difficult, but it's real
Don't be afraid, we'll make it out of this mess
It's a love story, baby, just say ""Yes""

[Post-Chorus]
Oh, oh

[Bridge]
I got tired of waiting
Wondering if you were ever coming around
My faith in you was fading
When I met you on the outskirts of town

[Breakdown]
And I said, ""Romeo, save me, I've been feeling so alone
I keep waiting for you but you never come
Is this in my head? I don't know what to think""
He knelt to the ground and pulled out a ring, and said

[Chorus]
""Marry me, Juliet, you'll never have to be alone
I love you, and that's all I really know
I talked to your dad, go pick out a white dress
It's a love story, baby, just say 'Yes'""

[Outro]
Oh, oh, oh
Oh, oh, oh
'Cause we were both young when I first saw you"
521,I`ve Got The World On A String (Live),I`ve Got The World On A String (Live) (Feat. Bobby McFerrin),20170324,2017,N/A
522,시간이 흐른 뒤,시간이 흐른 뒤,20171227,2017,"마지못해 살아가겠지 너 없이도
매일 아침 이렇게 일어나
밤새 조금씩 더
무뎌져 버린 기억속에서
애써 너의 얼굴을 꺼내어 보겠지
시간이란 누구에게나 느린
아픔을 주는지 우
힘든 하루 속에도
늘 니 생각뿐인 난
눈물마저도 말라가는데
as time goes by
난 그게 두려운 걸
니 안에서 나의 모든 게
없던 일이 될까봐 우
눈 감으면 늘 선명하던 니가
어느 순간 사라질까봐
정말 겁이나는 걸
이별이란 서로에게서
지워지는 거라지만 우
많은 사람속에도 늘
니 걱정 뿐인 나
시간마저도 붙잡고 싶은데
as time goes by
난 그게 두려운 걸
니 안에서 나의 모든 게
없던 일이 될까봐 우
눈 감으면 늘 선명하던 니가
어느 순간 사라지게 될까봐
내가 없는 세상이
너는 괜찮은 건지
너에게 잊을만한 추억일 뿐인지
참으려 애를 써도 늘 보고픈 나는
니가 아니면 안될 것 같은데
you're the one as time goes by
난 여기 있어줄게
셀 수 없는 밤이 지나도
사랑했던 그대로 우
혹시라도 너 돌아 오게 되면
단 한번에 나를 찾을 수 있게
as time goes by"
523,Love Falling,어떻게 할까요 (Feat. 다인),20151217,2015,"찬바람이 불면 생각나는 사람
코끝이 시리면 더 보고 싶은 사람
그리워 그리워 너무나
그리워 눈물이 흘러
어디서 어디서 지금쯤
어디서 무얼 할까요
나 그대가 보고 싶은데
어떻게 해야 할까요
그댈 지우긴 싫은데
흐려진 기억 멀리 서 있어
찬바람이
차갑게 시린 바람이 불면
그대가 보고 싶은데
어떻게 할까요
웃던 그 모습이 생각이 나네요
가슴이 메이면서 선명해지네요
오늘도 오늘도 그모습 그리워
눈물이 흘러
멀리서 멀리서 조금씩 다가와
웃어주네요
나 그대가 보고 싶은데
어떻게 해야 할까요
그댈 지우긴 싫은데
흐려진 기억 멀리 서 있어
찬바람이
차갑게 시린 바람이 불면
그대가 보고 싶은데
어떻게 할까요
시간이 흐르고 또 눈물이 흘러도
보내지 못해서 나 가슴이 아파서
나 그대가 보고 싶은데
다시 또 멀어지네요
그댈 보내긴 싫은데
이렇게 바라보고만 있어
찬바람이
가슴이 시린 바람이 불면
그대가 보고 싶은데
어떻게 할까요
그리워 그리워 너무나
그리워 눈물이 흘러
지금은 어디서
어디서 누구와 행복할까요"
524,Young Turks Club,훔쳐보기,19960000,1996,"난 알고 있어
숨어서 보고 있는 니 마음을
Oh 준비됐어 망설이지만 말고
내게로와 널 보면서 생각을 해
모든 시작은 작은 것 부터야
애써 외면할 필요 없어
손을 내밀어봐
기대를 하게하는
느낌이 맘에 들어
투명한 너만의 그 눈빛이
가까이 다가와봐
나에게 말을 해봐
너의 숨결을 느낄수 있게
난 알수있어
넌 내게 끌려오고 있는 거야
왜 바보처럼
그렇게 훔쳐보고 있기만해
어렵게 생각을 하지마
너와나는 하나가 될수 있어
가까이서 느끼고 싶어
사랑하고픈 널
기대를 하게하는
느낌이 맘에 들어
투명한 너만의 그 눈빛이
가까이 다가와봐
나에게 말을 해봐
너의 숨결을 느낄수 있게
우와 우와 내게로와
우와 우와 말을 해줘
우와 우와 니마음을
우와 우와 Come on baby
꿈속에선 사랑을 나눴지
눈 맞추며 미소짓는
작고 작은 입술
달콤한 향기
수줍게 다가온 너만의 느낌
지금 난 느낄수가 있어
Hey 조그만 너에게
관심을 끌고 싶어
이리와 가까이 좀더 가까이와
너를 보면 우린 서로
So come on 너를 사랑해
어렵게 생각을 하지마
너와나는 하나가 될수 있어
가까이서 느끼고 싶어
사랑하고픈 널
기대를 하게하는
느낌이 맘에 들어
투명한 너만의 그 눈빛이
가까이 다가와봐
나에게 말을 해봐
너의 숨결을 느낄수 있게
기대를 하게하는
느낌이 맘에 들어
투명한 너만의 그 눈빛이
가까이 다가와봐
나에게 말을 해봐
너의 숨결을 느낄수 있게"
525,Welcome To The Sechskies Land,미성년자 관람불가,19971101,1997,"왜 아직도 아무것도 모르는
철부지 애라고
생각하고 있는지
우린 이미 알건
다 알고 있는데
왜들 감추라고 하는지
모르겠어
세상이 이런데
어찌 아무것도 모를 수 있겠어
어떤 어른도
우릴 이해조차 못하고 있잖아
답답해 정말 이런다고 우릴
가둘 순 없을 텐데
제발 좀 이러지마
이렇게 우리 눈만 가린다고
숨길 순 없을 텐데
제발 좀 그러지마
세상은 점점 넓어져 가는데
세상은 점점 복잡한데도
왜 그런 단순한 기준에
이런 상처를 왜 받아야해
나 혼자 살아가는 방법을
왜 자꾸 가르쳐 주려고 하는가
친구를 눌러야 이기는 거라면
대체대체 누구를 믿고 살아가나
우물안 개구리 되긴 싫어
눈 가리고 아응하는
어른도 싫어
내 꿈에 벌써 이만큼씩 자라난
날개로 날 순 없는가
도대체
왜 우릴 아직 어른 맘대로
만들고 싶어서 안달이
나있는지
무얼 원하는지 알지도 모른채
자꾸 기대하고 있는지
모르겠어
세상을 바라봐
누가 만든건지 그속에 자랐어
그 어떤 누구도 이런 우리에게
탓할 수 없잖아
답답해 정말
이런다고 우릴
가둘 순 없을 텐데
제발 좀 이러지마
이렇게 우리 눈만 가린다고
숨길 순 없을 텐데
제발 좀 그러지마
세상은 점점 넓어져 가는데
세상은 점점 복잡한데도
왜 그런 단순한 기준에
이런 상처를 왜 받아야해"
526,Stax/Volt - The Complete Singles 1959-1968 Vol.2,Chinese Checkers,20070402,2007,N/A
