lyrics;emotion
"우리 매번 같은 시간에 있다는 거 시간을 보면 네가 내 안에 그려져"; 1, 2
"같이 있어도 너만 생각할게 take the time you been on mind on mind"; 1, 2
"우리의 여행을 기다리면 늦게 가 너와 마주 보면 다시 또 빨리 가 (what time is it?)"; 1, 2
"널 만나고 나의 모습은 온전히 진심으로 채워져"; 1
"지금 흘러간 1초도 조금만 천천히 (이 시간 천천히)"; 6
"이제는 맘 편히 we should sunset swimming 나 너무 행복해"; 1
"텅 빈 시간엔 내 맘은 가득 지금 너의 목소리로 전부 채워져 uh"; 1
"오늘 밤은 소리에만 집중 like ATC 시간이 벌써 이렇게 no"; 6
"일어나면 꿈을 꿔 when i look at rose 내 옆에 있어줘"; 1
"물은 내가 줄게 마음껏 약속해 i swear 나눠줘 너의 시간"; 1
"다가올 이 시간은 천천히 조금만 천천히"; 6
"이제는 맘 편히 (이제는 맘 편히) we should sunset swimming 나 너무 행복해"; 1
"조금만 천천히 이제는 맘 편히 we should sunset swimming 나 너무 행복해"; 1
