lyrics;emotion
"난 애가 타 평생 나만 바라보겠다는 말은 가짜 같아 Yeah 나 불안해 다른 남자들에게 그런 웃음 짓지 마"; 3, 5
"불안하니까 Baby 어딜 가나 Look look look 내 시선은 너만 Loop loop loop"; 1, 3
"온 매력들을 내뿜어 넌 하지 말라고 숨어 난 지금 너를 찾는 중"; 1, 3
"음음 전화 연결음 뚜뚜뚜 Yeah 이건 사랑이야 정말 어떻게 해야 하니"; 1
"널 자꾸 나를 미치게 만드는 걸 이유는 내가 다 설명할게 Baby yeah 오늘은 내 곁에 있어줘"; 1, 3
"Baby come on what you want yeah 너만 원함 모든 해"; 1, 2
"옷을 말끔하게 갈아입고 거울을 보며 손짓해 술을 따라 마셔보고 나도 모를 눈빛을 하고"; 1
"나의 침대맡엔 베개 두 개 하루 종일 연습을 해 Yeah 거울을 보며 용기를 내 Oh 네잎클로버 같은 널 가만둘 순 없어"; 1, 2
"이건 사랑이야 정말 어떻게 해야 하니 널 자꾸 나를 미치게 만드는 걸 이유는 내가 다 설명할게 Baby yeah"; 1, 3
"오늘은 내 곁에 있어줘 때론 네게 화를 내며 다신 안 볼듯해도 진심이 아니란 걸 너가 제일 잘 알면서"; 1, 3
"너와 멀어지는 건 내겐 악몽이야 Girl 헤어지기 싫다고 이건 사랑이야 Girl"; 1, 5
"자꾸 나를 미치게 만드는 걸 이유는 내가 다 설명할게 Baby yeah 오늘은 내 곁에 있어줘"; 1, 3
