id,artist,song_name,lines,Emotion
207,이준형,아이,"['얼마나 걸었을까', '초라해진 나의 꿈', '노을은 저물고 나의 방안에', '별들이 있었던가', '멈춰 서 보니', '마음은 그대로인', '아직도 세상이 무서운 우리는', '지금 어디에 있는 걸까', '저 너머로 이룬 건 많지만', '뒤돌아 볼 때에 나는', '조그맣지만 그렇게 커버린', '상처투성이인 우리 너와 나야', '우 우', '얼마나 지났을까', '또 떠오르는 해와 달', '저 별에 닿고 싶어', '달리던 우리는', '아름다웠을까', '저 너머로 이룬 건 많지만', '뒤돌아 볼 때에 나는', '조그맣지만 그렇게 커버린', '상처투성이인 우리 너와 나야', '우 우', '우우우우 우우우우 우', '아득하게 멀어져만 가는', '우우우우 우우우우 우', '저 멀리 작아져 가고 있는', '아아아아 아아아아 아', '아아 아아 아아 아아아아', '아아아아 아아아아 아', '아아 아아 아아 아아아아', '우우우우 우우우우 우', '아득하게 멀어져만 가는', '우우우우 우우우우 우', '저 멀리 작아져 가고 있는']",그리움
235,Emotional Oranges,Corners Of My Mind,"['Thought you'd have my baby', 'Let me down I never could fathom', 'Told me you were ready', 'Rearranged my life', 'just to fight for you', 'Tell me why should', 'I change for you', 'Opened it up gave you my all', 'It always seemed like', 'it wasn't enough', 'I tried to forget peace and reset', 'But I can't forgive no more', 'I left you in the corners', 'of my mind', 'I erased you from my life', 'there's no in-betweens this time', 'Said I lost you in the corners', 'of my mind', 'Can't let you dim my light', 'got control of it this time', 'I left you Ooh', 'I lost you Ooh', 'It was yesterday', 'You couldn't look me', 'in my eyes and then', 'There was nothing more', 'that I could say', 'I thought what', 'we had was unbreakable', 'Guess I was wrong', 'Opened it up gave you my all', 'I know it seemed', 'like you weren't enough', 'Tried to forget peace and reset', 'I can't forgive you no more', 'I left you in the corners', 'of my mind', 'I erased you from my life', 'there's no in-betweens this time', 'Said I lost you', 'in the corners of my mind', 'Can't let you dim my light', 'got control of it this time', 'I left you Ooh', 'I lost you Ooh', 'We never said goodbye', 'We used to fantasize', 'I only dream about you', 'without you oh', 'Our love ain't one to follow', 'Our love won't see tomorrow', 'I only dream about us without us', 'I left you in the corners', 'of my mind', 'I erased you from my life', 'there's no in-betweens this time', 'Said I lost you', 'in the corners of my mind', 'Can't let you dim my light', 'got control of it this time', 'Ooh ooh', 'Ooh ooh']",그리움
129,마인드유,잡지 않았어,"['언제부턴가 얘기 나눌 때', '재미없다는 표정을 짓던 너', '그래 난 알고 있었어', '우리 어느 날 함께 들었던', '우리 얘기 같던 노래 가사가', '이제는 남 얘기가 됐어', '널 보며 웃어도 보고', '울어도 보고 매달리기도 했어', '애써 널 지우려 해도 덮으려 해도', '자꾸 생각나는데', '잡지 않았어 널 그때는 몰랐어', '이렇게 아플 줄은', '이제야 알았어', '니가 없는 나의 모습이 이래', '같이 걸었던 그 길을 지날 땐', '혹시라도 너와 마주칠까 봐', '괜히 둘러보곤 해', '하고 싶은 말 아껴뒀던 말', '이제는 전부 다 소용이 없어 이제', '잡지 않았어 널 그때는 몰랐어', '이렇게 아플 줄은', '이제야 알았어', '니가 없는 나의 모습이 이래', '이제 너는 없고 혼자 남아서', '너와 함께 웃던 사진들을 봐', '가끔 뜬금없이 니가 꿈속에', '잘 견뎌 왔는데', '잡지 않았어 널 그때는 몰랐어', '이렇게 아플 줄은', '이제야 알았어', '니가 없는 나의 모습이 이래']",그리움
428,강민희,기억해줘요,"['그래요 다 알겠어요', '나에 대한 남은 감정이 없단 걸', '이미 많은 감정들을 거친', '너란 걸', '언제든 기다릴게요', '내게 닫힌 마음 살며시 열리길', '조용히 가만히 기다릴게요', '내 미래에는 너 없는 곳을', '찾을 수가 없는데', '내가 어떻게', '너 없이 하루를 살아갈까요', '지나가는 곳마다 너와 함께한', '추억이 빼곡한데', '자신이 없어요 난 못 하겠어요', '너를 잊고 살아갈', '나를 기억해줘요', '그댈 그 누구보다 사랑한', '나에 대한 추억만이라도', '잊지 말아줘요', '내게 돌아와 줘요', '언제가 됐든 기다릴게요', '이런 나를 한 번만 바라봐줘요', '알아요 힘들었단 걸', '나 때문에 편치 않았단 걸', '이미 오래전부터 마음을', '굳혔단 것도 알아', '소중한 사람을 몰라봤던', '그런 사람에게 부족했던', '나를 용서해요 너무 미안해요', '다신 그런 일 없을 테죠', '나를 기억해줘요', '그댈 그 누구보다 사랑한', '나에 대한 추억만이라도', '잊지 말아줘요', '내게 돌아와 줘요', '언제가 됐든 기다릴게요', '이런 나를 한 번만 바라봐줘요', 'Na Na Na Na', 'Na Na Na Na Na', 'Na Na Na Na Na', '나를 사랑해줘요', '이런 말 할 자격은 없지만', '그댈 사랑하는 마음만은', '이기적이어도 되죠', '나를 돌아봐 줘요', '언제든 그대뿐인 나였죠', '이런 나를 한 번 더 바라봐줘요', '이런 나를 한 번 더 바라봐줘요']",그리움
427,강기웅,"그때는, 그대는","['그때는 아직도 한결같이 찾아와', '그대는 아직도 눈물겹게 밀려와', '사랑에 사람에 그렇게 지쳤을 때', '넌 나를 위로해주네', '넌 나를 일으켜주네', '넌 추억으로 정리되지 않더라고', '매듭지어지지 않았기에', '아름다웠다 말할 수가 없더라고', '그 의미가 너무 컸었기에', '그때는 아직도 한결같이 찾아와', '그대는 아직도 눈물겹게 밀려와', '사랑에 사람에 그렇게 지쳤을 때', '넌 나를 위로해주네', '넌 나를 일으켜주네', '넌 추억으로 정리되지 않더라고', '매듭지어지지 않았기에', '아름다웠다 말할 수가 없더라고', '그 의미가 너무 컸었기에', '그때는 아직도 한결같이 찾아와', '그대는 아직도 눈물겹게 밀려와', '사랑에 사람에 그렇게 지쳤을 때', '넌 나를 위로해주네', '넌 나를 일으켜주네', '무수히 지샜던 기어코 억눌렀던', '마음을 내려놓을 곳 없어', '그때는 아직도 한결같이 찾아와', '그대는 아직도 눈물겹게 밀려와', '사랑에 사람에 그렇게 지쳤을 때', '날 위로해주네 일으켜주네']",그리움
447,이아람,척,"['난 이 감정을 말할수록 시들어요', '의미 없는 웃음에 지칠 때가 있죠', '사람들은 내 행복한 모습만 바라니까', '내가 조금만 무너져 우울하면', '내게서 더 멀어지니까', '그러니까', '난 사실 그런 사람이 아니어도', '행복한 사람이어야 해', '가면을 써야 했죠', '누군가 그래왔던 것처럼', '그런 사람이 아니어도', '밝은 사람이어야 해', '괜찮아 괜찮아 괜찮아 그냥', '난', '그냥', '그냥', '그런 척', '난 사실 그런 사람이 아니어도', '착한 사람이어야 해', '가면을 써야 했죠', '당신이 생각하는 나처럼', '그런 사람이 아니어도', '행복한 척해야만 해', '괜찮아 괜찮아 괜찮아 그냥', '난', '그냥', '그냥', '그런 척', '난 이 감정을 말할수록 시들어요', '의미 없는 웃음에 지칠 때가 있죠']",그리움
473,플라이 투 더 스카이,너를 너를 너를,"['모든걸 주고도 한없이 모자랄 만큼', '나의 목숨보다 소중한 그런 너를', '너를 너를 너를 널', '보내야 하는 오늘이 태어나 처음', '두려워', '참 바보같아 난 너와나 죽는 날까지', '함께 할거라 믿었나봐 그런 너를', '너를 너를 너를 널 잃곤 나', '혼자서 어떡해 아무것도 해낼', '자신이 없어', '나의 사랑이 아직 어려서 편하게', '너를 보내지 못하나봐', '어린애처럼 소리쳐 울며 보채야만', '내게 돌아 올수 있겠니', '내 가슴속을 다 뒤집어 보여 준다면', '까맣게 타 버린 내맘은 아직 너를', '너를 너를 너를 널 사랑해', '잡을수 있다면 남자답지 못해도', '상관없어', '나의 사랑이 아직 어려서 편하게', '너를 보내지 못하나봐', '어린애처럼 소리쳐 울며 보채야만', '내게 돌아 올수 있겠니', '이렇게 가슴이 무너질 듯이 울려도', '갈라진 사랑을 깨물고 이제 보내줄게', '나의 사랑이 아직 어려서 편하게', '너를 보내지 못하나봐', '어른이 돼도 자라지 못한 내 사랑은', '네가 없인 단 하루도 살 수가 없어', '나의 사랑이 아직 어려서 편하게', '너를 보내지 못하나봐', '어른이 돼도 자라지 못한 내 사랑은', '네가 없인 단 하루도 살 수가 없어', '나는 단 하루도 살 수가 없어']",그리움
411,DAY6 (데이식스),예뻤어,"['지금 이 말이', '우리가 다시', '시작하자는 건 아냐', '그저 너의', '남아있던 기억들이', '떠올랐을 뿐이야', '정말 하루도 빠짐없이 너는', '사랑한다 말해줬었지', '잠들기 전에 또', '눈 뜨자마자 말해주던 너', '생각이 나 말해보는 거야', '예뻤어', '날 바라봐 주던 그 눈빛', '날 불러주던 그 목소리', '다 다', '그 모든 게 내겐', '예뻤어', '더 바랄게 없는듯한 느낌', '오직 너만이 주던 순간들', '다 다', '지났지만', '넌 너무 예뻤어', '너도 이제는', '나와의 기억이', '추억이 되었을 거야', '너에게는', '어떤 말을 해도 다', '지나간 일일 거야', '정말 한번도 빠짐없이 너는', '나를 먼저 생각해줬어', '아무 일 아니어도', '미안해 고마워 해주던 너', '생각이 나 말해보는 거야', '예뻤어', '날 바라봐 주던 그 눈빛', '날 불러주던 그 목소리', '다 다', '그 모든 게 내겐', '예뻤어', '더 바랄게 없는듯한 느낌', '오직 너만이 주던 순간들', '다 다', '지났지만', '넌 너무 예뻤어', '아직도 가끔 네 생각이 나', '어렵게 전화를 걸어볼까', '생각이 들 때도 많지만', 'Baby I know it's already over', '아무리 원해도 너는 이제', '이미 끝나버린 지난날의', '한편의 영화였었단 걸', '난 알아', '마지막', '날 바라봐 주던 그 눈빛', '잘 지내라던 그 목소리', '다 다', '그마저도 내겐', '예뻤어', '내게 보여준 눈물까지', '너와 가졌던 순간들은', '다 다', '지났지만', '넌 너무 예뻤어']",그리움
319,강아솔,4년전 5월 그때의 우리,"['4년 전 5월', '그때의 우리', '제주도 푸른', '바다에 기대어', '서로의 꿈과', '서로의 바람을', '밀려오는 파도에', '실어 보냈었지', '깔깔대던', '너의 웃음소리', '뭐가 그리', '즐거웠을까', '지는 태양에', '아쉬워 그 날을', '꼭 붙잡고 싶었지만', '시간이 흐르고', '이젠 너의 목소리만', '전화기 넘어', '들려오는데', '그리워 그때의', '우리의 5월이', '시간이 흐르고', '이젠 너의 목소리만', '전화기 넘어', '들려오는데', '그리워 그때의', '우리의 5월이', '그리워 그때의', '우리의 5월이']",그리움
249,비스트(Beast),Fiction,"['すべてが嘘のように 忘れられぬ記憶', '스베테가 우소노요우니 와스레라레누 키오쿠', '전부 다 거짓말처럼 잊혀지지 않는 기억들', '君と離れたことを 今も', '키미토 하나레타 고토오 이마모', '너와 헤어졌다는 것을 지금도', '終わらせない二人のstory 果てなく始まるstory', '오와라세나이 후타리노 story 하테시나쿠 하지마루 story', '끝낼 수 없는 우리 둘의 story 끝없이 시작되는 story', '痛みひたすら耐えて 癒えぬ苦しみを埋めて', '이타미 히타스라 타에테 이에누 쿠루시미오 우메테', '아픔을 그저 견디며 달래지지 않을 고통을 메우네', '描く始まりは 幸せに笑う二人', '에가쿠 하지마리와 시아와세니 와라우 후타리', '그려보는 시작은 행복하게 웃는 두 사람', '行くな 俺だけの君 出口のないこの部屋に', '이쿠나 오레다케노 키미 데구치노 나이 고노 헤야니', '가지 마 나만의 그대 출구 없는 이 방에서', '当たり前のようにキスして 君からは離れられなくて', '아타리마에노요우니 키스시테 키미카라와 하나레라레나쿠테', '당연한 듯이 키스해 줘 너한테서 떨어질 수 없어', '終わりなんかじゃない', '오와리난카쟈나이', '결코 끝이 아니야', '俺はまだ(Fiction in Fiction in Fiction)', '오레와 마다 (Fiction in Fiction in Fiction)', '나는 아직도 (Fiction in Fiction in Fiction)', '君とまだ(Fiction in Fiction in Fiction)', '키미와 마다 (Fiction in Fiction in Fiction)', '너는 여전히 (Fiction in Fiction in Fiction)', '終わらない物語 胸に描くから', '오와라나이 모노가타리 무네니 에가쿠카라', '끝나지 않는 이야기를 가슴에 그리겠어', 'もう君を(Fiction in Fiction in Fiction)', '모--키미오 (Fiction in Fiction in Fiction)', '이젠 너를 (Fiction in Fiction in Fiction)', '放さない(Fiction in Fiction in Fiction)', '하나사나이 (Fiction in Fiction in Fiction)', '놔주지 않을 거야 (Fiction in Fiction in Fiction)', 'どうして君は ここにいないのに 二人 in Fiction', '도--시테 키미와 코코니 이나이노니 후타리 in Fiction', '어째서 너는 여기 없는데도 우리 둘 in Fiction', '今ここには幸せなstory', '이마 코코니와 시아와세나 story', '지금 여기엔 행복한 story', 'ただ幸せそうな二人の物語が(この胸には)あるよ', '타다 시아와세소우나 후타리노 모노가타리가 (고노 무네니와) 아루요', '그저 행복하게만 보이는 두 사람의 이야기가 (이 가슴에는) 있어', '満たされてゆくよ', '미타사레테 유쿠요', '충족되어 가는구나', '駆け寄ってきた君を抱いて 俺はそんな君をもう放さない', '카케욧테 키타 키미오 다이테 오레와 손나 키미오 모--하나사나이', '달려온 너를 안아 난 그런 너를 더 이상 놔주지 않을 거야', '終わりなんかじゃないよ', '오와리난카쟈나이요', '결코 끝이 아니야', '俺はまだ(Fiction in Fiction in Fiction)', '오레와 마다 (Fiction in Fiction in Fiction)', '나는 아직도 (Fiction in Fiction in Fiction)', '君とまだ(Fiction in Fiction in Fiction)', '키미와 마다 (Fiction in Fiction in Fiction)', '너는 여전히 (Fiction in Fiction in Fiction)', '終わらない物語 胸に描くから', '오와라나이 모노가타리 무네니 에가쿠카라', '끝나지 않는 이야기를 가슴에 그리겠어', 'もう君を(Fiction in Fiction in Fiction)', '모--키미오 (Fiction in Fiction in Fiction)', '이젠 너를 (Fiction in Fiction in Fiction)', '放さない(Fiction in Fiction in Fiction)', '하나사나이 (Fiction in Fiction in Fiction)', '놔주지 않을 거야 (Fiction in Fiction in Fiction)', 'どうして君は ここにいないのに 二人 in Fiction', '도--시테 키미와 코코니 이나이노니 후타리 in Fiction', '어째서 너는 여기 없는데도 우리 둘 in Fiction', '最後に言いたくて 君なら俺の傍にいると 信じてる', '사이고니 이이타쿠테 키미나라 오레노 소바니 이루토 신지테루', '마지막으로 말하고 싶어 너라면 내 곁에 있어 주리라고 믿어', '(だけどFiction 君はFiction 今もFiction 二人Fiction)', '(다케도 Fiction 키미와 Fiction 이마모 Fiction 후타리 Fiction)', '(하지만 Fiction 너는 Fiction 지금도 Fiction 두 사람 Fiction)', '난 목적을 잃어버린 작가 이 소설의', '끝은 어떻게 마무리 지어야 해', '사랑해 사랑해 사랑해 사랑해 사랑해 이 세 글자만', '써 내려가 무뎌진 펜 눈물로 얼룩진 낡은 종이 위로', '행복할 수도 슬플 수도 없어 이 이야기는', '幸せな物語 俺はただ描くだけ すべては望みでしかなくて', '시아와세나 모노가타리 오레와 타다 에가쿠다케 스베테와 노조미데시카나쿠테', '행복한 이야기를 나는 그저 쓸 뿐 모든 것은 바람일 뿐이야', '幸せな(Fiction in Fiction in Fiction)', '시아와세나(Fiction in Fiction in Fiction)', '행복한(Fiction in Fiction in Fiction)', '君の傍で(Fiction in Fiction in Fiction)', '키미노 소바데(Fiction in Fiction in Fiction)', '네 곁에서(Fiction in Fiction in Fiction)', '今始まる(Fiction in Fiction in Fiction)', '이마 하지마루(Fiction in Fiction in Fiction)', '지금 시작돼(Fiction in Fiction in Fiction)', '終わらないstory(Fiction in Fiction in Fiction)', '오와라나이 story(Fiction in Fiction in Fiction)', '끝나지 않는 story(Fiction in Fiction in Fiction)']",그리움
