lyrics;emotion
"Girl why you tryna play with me 뱉은 말은 이기적이지";"3"
"나도 똑같다는 말은 하지 마 그 잘못들 내게 돌리지 마";"3"
"너무 어지러워서 견딜 수가 없어 All I know is what you did to me";"3"
"이게 다야 무슨 말이 필요해 그러니 Don't think that I'm crazy";"3"
"빨리 가줘 Don't make me feel bad 없는 말해 대체 뭐 땜에";"3"
"So don't say for me to stay 생각할수록 화만 나니까";"3"
"I don't like you make that easy 변명 들어줄 필요도 없지";"3"
"널 차라리 몰랐던 게 나았지 난 더 해줄 말도 없으니깐";"5"
"Girl don't tryna play with me 절대 I never should have let you in";"3"
"Girl why you tryna play with me I never should have let you in";"3"
"새벽 두시 반 또 네가 없는 방 It's getting calm & Cold";"6"
"I don't know what I feel I don't know how I feel What should I do";"6"
"헤어질 때 넌 왜 눈물을 흘렸어 잘못은 날 향해 And I don't understand";"5"
"Before you got a judge right or wrong Who is that guy hold your face";"6"
"솔직히 말해 울 자격도 없어 전혀 넌";"5"
"Never come back I'll forget you on my mind I'm already to be good bye";"5"
"I don't like you make that easy 변명 들어줄 필요도 없지";"3"
"널 차라리 몰랐던 게 나았지 난 더 해줄 말도 없으니깐";"5"
"Girl don't tryna play with me 절대 I never should have let you in";"3"
"Girl why you tryna play with me I never should have let you in";"3"
