lyrics;emotion
"Let’s go drive 어서 나와 오늘은 어디로 떠날까 집 앞이야 바로 나와 Beige coat 보이면 나야"; 1, 2
"눈을 떠보니 벌써 시간이 됐어 멋진 옷을 고르고 Wake up babe 잠든 널 깨우고서"; 1
"하루 종일 나 Say la la la every time 나도 이렇게 될 줄은 꿈에도 몰랐었어"; 1, 2
"Look at my eyes 지금 나와 나 다 와가 5분 뒤에 도착해 어디 갈까 넓은 바다"; 1, 2
"하고 싶은 게 있으면 말만 해 넌 네가 얼마나 예쁜지 몰라서 다른 남자들이 쳐다봐도"; 1, 2
"넌 아무것도 모르고 있어 아무것도 모르고 있어 Baby sorry 나 좀 늦었지"; 1, 2
"가까운 빵집에 들렀어 뭐 할래 영화 보러 갈까 너라면 다 nothing at all Maybe"; 1, 2
"여태까지 이런 적이 없는데 널 만나기 전 왜 이렇게 떨리는데 Let’s go drive 집 앞이야"; 2
"Beige coat 보이면 나야 어디든 상관없어 내 옆에 타 좋아하는 걸로 틀어줘 음악"; 1, 2
"네가 옆에 있어 집중이 안 돼 너의 취향 아니 모든 게 궁금해 알고 싶어"; 1, 2
"네가 좋아하는 향 담엔 미리 준비할게 난 tea 넌 아아 내 오른손과 네 왼손"; 1, 2
"끄떡없을 거야 right Baby sorry 나 좀 늦었지 가까운 빵집에 들렀어 뭐 할래"; 1, 2
"영화 보러 갈까 너라면 다 nothing at all Maybe 여태까지 이런 적이 없는데"; 1, 2
"널 만나기 전 왜 이렇게 떨리는데 Let’s go drive 집 앞이야 Beige coat 보이면 나야"; 2
"I’m wearing beige beige beige coat I’m wearing beige beige beige coat Maybe"; 1
"여태까지 이런 적이 없는데 널 만나기 전 왜 이렇게 떨리는데 Let’s go drive 집 앞이야"; 2
"Beige coat 보이면 나야"; 1, 2
