lyrics,emotion
"지금 뭐해 당장 나는 너를 원해 Yeah If you want it Tell me where u at I'm on my way";"2: 설렘 심쿵"
"단번에 알아챌게 네 기분 보여줘 네 마음 아름다운 Shape Baby";"1: 사랑 기쁨"
"이런 건 어때 안 해 앞뒤 다른 말 원래는 나도 날카로와 내 눈을 바라봐 줘 내 어깨에 기대";"1: 사랑 기쁨"
"지금 뭐해 난 그게 궁금해 너는 지금 뭐해 아직 안 자던데 몇 시야 전화 걸 땐 곧바로 받아줘야 돼";"2: 설렘 심쿵"
"너는 지금 뭐해 답장 안 해도 돼 나 혼자 착각할게 그래도 궁금해 어케 너는 지금 뭐해";"0: 그리움"
"지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 (Tell me where u at I'm on my way)";"2: 설렘 심쿵"
"지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 (Tell me tell me where you at I'm on my)";"2: 설렘 심쿵"
"이건 내 대화의 Intro 지금 뭐해 뭐 하고 있어 I'm waiting waiting waiting waiting 꽤 많이 좋아하고 있어";"2: 설렘 심쿵"
"너가 칼 답을 하면 웬일 내가 필요한 건 아닐까 내가 필요한 건 아닌걸 나도 가끔 느껴 네 관심 밖인걸";"0: 그리움"
"곧 열두 시야 Baby won't you cuddle with me? I can go like Hercules 이 정도면 져주지 좀 어장관리 이딴 거야?";"2: 설렘 심쿵"
"아님 관심이 있단 거야? 대답해 지금 뭐해 뭐 안 하면 뭐 할 건데 Right now";"2: 설렘 심쿵"
"너는 지금 뭐해 아직 안 자던데 몇 시야 전화 걸 땐 곧바로 받아줘야 돼";"2: 설렘 심쿵"
"너는 지금 뭐해 답장 안 해도 돼 나 혼자 착각할게 그래도 궁금해 어케 너는 지금 뭐해";"0: 그리움"
"지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 (Tell me where u at I'm on my way)";"2: 설렘 심쿵"
"지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 (Tell me tell me where you at I'm on my)";"2: 설렘 심쿵"
"Divin' Divin' 내 마음이 마음이 더 빠져드는데 견디기 좀 힘드네 이 밤이 밤이 가기 전에";"2: 설렘 심쿵"
"Baby can you tell me I'm the one 너는 지금 뭐해 아직 안 자던데 몇 시야 전화 걸 땐 곧바로 받아줘야 돼";"2: 설렘 심쿵"
"너는 지금 뭐해 답장 안 해도 돼 나 혼자 착각할게 그래도 궁금해 어케 너는 지금 뭐해";"0: 그리움"
"지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 (Tell me where u at I'm on my way)";"2: 설렘 심쿵"
"지금 뭐해 지금 뭐해 지금 뭐해 지금 뭐해 (Tell me tell me where you at I'm on my)";"2: 설렘 심쿵"
